అంకిత	ankita
అప్పు	appu
అప్పుడప్పుడు	appudappudu
అప్పుడప్పుడూ	appudappuduu
అప్పుడప్పుడే	appudappudae
అప్పుడామె	appudaame
అప్పుడు	appudu
అప్పుడే	appude
అప్పును	appunu
అప్పుల	appula
అప్పులు	appulu
అప్రతిష్ఠ	aprathishta
అప్లికేషన్	aplication
అప్సరసల	apsarasal
అఫ్	af
అబిడ్స్	abids
అబు	abu
అబుల్	abul
అబూ	abu
అబూబక్ర్	abuubakr
అబే	abe
అబ్	ab
అబ్దుల్	abdul
అబ్దుల్లా	abdulla
అబ్బాయి	abbaayi
అబ్బాయిలు	abbaailu
అబ్బూరి	abbuuri
అభయ	abhaya
అభయం	abhayam
అభయారణ్యం	abhayaaranyam
అభయారణ్యంలో	abhayaaranhyamloo
అభరణాలు	aabharanaalu
అభాండాలు	abhaandaalu
అభి	abhi
అభిజ్ఞాన	abhignaana
అభినందన	abhinamdana
అభినందనలు	abhinamdanalu
అభినందించడం	abhinamdimchadam
అభినందించారు	abhinandinchaaru
అభినయ	abhinaya
అభినవ	abhinava
అభినవ్	abhinav
అభిప్రాయ	abhipraaya
అభిప్రాయం	abhipraayam
అభిప్రాయంలో	abhipraayamlo
అభిప్రాయపడింది	abhipraayapadimdi
అభిప్రాయపడుతున్నారు	abhipraayapaduthunnaaru
అభిప్రాయపడ్డాడు	abhipraayapaddaadu
అభిప్రాయపడ్డారు	abhipraayaapaddaaru
అభిప్రాయభేదాలు	abhipraayabhedaalu
అభిప్రాయము	abhipraayamu
అభిప్రాయములు	abhipraayamulu
అభిప్రాయానికి	abhipraayaaniki
అభిప్రాయాన్ని	abhipraayaanni
అభిప్రాయాలను	abhipraayaalanu
అభిప్రాయాలు	abhipraayaalu
అభిమన్యుడి	abhimanyudi
అభిమన్యుడు	abhimanyudu
అభిమన్యుని	abhimanyuni
అభిమానమో	abhimaanamo
అభిమానుల్ని	abhimaanulni
అభియోగం	abhiyoegam
అభియోగాలు	abhiyoegaalu
అభిరుచి	abhiruchi
అభిరుచులు	abhiruchulu
అభివర్ణించాడు	abhivarninchadu
అభివర్ణించారు	abhivarnincharu
అభివర్ణించింది	abhivarnhimchimdi
అభిషేకం	abhishekam
అభిషేకములు	abhishaekamulu
అభిషేక్	abhishaek
అభ్యంతరం	abhyantaram
అభ్యంతరాలు	abhyantaralu
అభ్యర్థన	abhyardhana
అభ్యర్థనను	abhyardhananu
అభ్యర్థనలు	abhyardhanalu
అభ్యర్థి	abhyardhi
అభ్యర్థించారు	abhyardhimchaaru
అభ్యర్థించింది	abhyardhimchimdi
అభ్యర్థికి	abhyardhiki
అభ్యర్థిగా	abhyarthiga
అభ్యర్థిపై	abhyarthipai
అభ్యర్థుల	abhyarthula
అభ్యర్థులు	abhyardhulu
అభ్యర్ధన	abhyardhana
అభ్యసించాడు	abhyasimchaadu
అభ్యసించారు	abhyasimchaaru
అభ్యసించి	abhyasinchi
అభ్యాస	abhyaasa
అభ్యాసం	abhyaasam
అభ్యాసకులు	abhyaasakulu
అభ్యుదయ	abhyudaya
అమరావతి	amaraavati
అమరావతిలో	amaraavathilo
అమరిక	amarika
అమరికలను	amarikalanu
అమరికలు	amarikalu
అమరుస్తారు	amarustaru
అమర్	amar
అమర్చటం	amarchatam
అమర్చడం	amarchadam
అమర్చబడి	amarchabadi
అమర్చారు	amarcharu
అమర్చి	amarchi
అమర్చిన	amarchina
అమర్చే	amarche
అమలయ్యే	amalayyae
అమలవుతున్నాయి	amalavuthunnaayi
అమలాపురం	amalaapuram
అమలు	amalu
అమలుకు	amaluku
అమలుచేయడానికి	amalichaeyadaaniki
అమలులో	amalulo
అమలులోకి	amaluloeki
అమల్లో	amalloo
అమావాస్య	amaavaasya
అమిత	amita
అమితంగా	amitamga
అమితమైన	amitamaina
అమితాబ్	amitaab
అమీర్	ameer
అమూల్యమైన	amuulyamaina
అమృత	amruta
అమృతం	amrutam
అమృతము	amruthamu
అమృతసర్	amritasar
అమృతా	amruthaa
అమృత్	amruth
అమెచ్యూర్	amechyuur
అమెజాన్	amejaan
అమెరిక	america
అమెరికా	america
అమెరికాకి	americaki
అమెరికాకు	americaaku
అమెరికాలో	americalo
అమెరికాలోని	amerikaloni
అమెరికాలోనే	americaaloenae
అమైనో	amino
అమోఘం	amogham
అమ్మ	amma
అమ్మకం	ammakam
అమ్మకపు	ammakapu
అమ్మకానికి	ammakaaniki
అమ్మకాల	ammakaala
అమ్మకాలకు	ammakaalaku
అమ్మకాలను	ammakaalanu
అమ్మకాలు	ammakaalu
అమ్మకు	ammaku
అమ్మగా	ammagaa
అమ్మడం	ammadam
అమ్మడు	ammadu
అమ్మతనం	ammatanam
అమ్మతో	ammatho
అమ్మమ్మ	ammamma
అమ్మవారి	ammavaari
అమ్మవారికి	ammavariki
అమ్మవారిని	ammavaarini
అమ్మవారు	ammavaaru
అమ్మా	ammaa
అమ్మాయి	ammayi
అమ్మాయికి	ammayiki
అమ్మాయితో	ammayitho
అమ్మాయిని	ammayini
అమ్మాయినీ	ammayinee
అమ్మాయిలు	ammayilu
అమ్మి	ammi
అమ్ముకుంటారు	ammukuntaru
అమ్ముకోవచ్చు	ammukovachhu
అమ్ముకోవడానికి	ammukoovadaaniki
అమ్ముడయ్యాయి	ammudayyaayi
అమ్ముతారు	ammutaaru
అమ్ముతుంటారు	ammuthuntaaru
అమ్ముతూ	ammuthuu
అమ్మోనియం	ammonium
అమ్మోనియా	ammonia
అమ్మోరు	ammoru
అయతే	ayathee
అయన	ayana
అయనకు	ayanaku
అయస్కాంత	ayaskaantha
అయస్కాంతాలు	ayaskaanthaalu
అయాచితంగా	ayaachithamgaa
అయాన్	ayaan
అయామ్	ayaam
అయి	ayi
అయిందని	ayindani
అయింది	ayindi
అయిందో	ayindhoo
అయిదవ	ayidava
అయిదు	ayidu
అయిదుగురు	ayiduguru
అయిదేళ్లు	ayideelhlhu
అయిన	ayina
అయినందుకు	ayinandhuku
అయినందున	ayinandhuna
అయినచో	ayinacho
అయినటువంటి	ayinatuvanti
అయినట్లు	ayinatlu
అయినది	ainadi
అయినను	ayinanu
అయిననూ	ainanuu
అయినపుడు	ainappudu
అయినప్పటికీ	ainappatiki
అయినప్పుడు	ayinappudu
అయినా	ayinaa
అయినాక	ayinaaka
అయినాడు	ainadu
అయిపోతాడు	aipootaadu
అయిపోయి	ayipoi
అయిపోయింది	ayipoidi
అయిలమ్మ	ayilamma
అయోధ్యకు	ayodhyaku
అయోధ్యలో	ayodhyalo
అయోమయ	ayoomaya
అయోమయం	ayoomayam
అయోమయానికి	ayoomayaaniki
అయ్యప్ప	ayyappa
అయ్యర్	ayyar
అయ్యర్లు	ayyarlu
అయ్యవారు	ayyavaru
అయ్యా	ayyaa
అయ్యాక	ayyaka
అయ్యాడు	ayyaadu
అయ్యాము	ayyaamu
అయ్యాయి	ayyayi
అయ్యారు	ayyaaru
అయ్యి	ayyi
అయ్యే	ayye
అయ్యేందుకు	ayyenduku
అయ్యేలా	ayyelaa
అయ్యేసరికి	ayyesariki
అయ్యో	ayyo
అర	ara
అరంగేట్రం	arangetram
అరకులోయ	arakulooya
అరకొర	arakora
అరగంట	araganta
అరచేతులను	arachaetulanu
అరచేతులు	arachaetulu
అరటిపండు	aratipandu
అరణ్యవాసం	aranyavasam
అరబిందో	arabindho
అరబిక్	arabik
అరబ్బీ	arabbee
అరబ్బుల	arabbula
అరబ్బులు	arabbulu
అరవటం	aravatam
అరవింద	aravimda
అరవింద్	aravind
అరవై	aravai
అరసం	arasam
అరసవల్లి	arasavalli
అరిస్టాటిల్	aristaatil
అరుంధతి	arundhathi
అరుంధతీ	arundhathee
అరుచి	aruchi
అరుణ	aruna
అరుణను	arunhanu
అరుణా	arunhaa
అరుణాచల	arunhaachala
అరుణాచలం	arunhaachalam
అరుణాచలంలో	arunaachalamloo
అరుణాచల్	arunhaachal
అరుణోదయ	arunhoedaya
అరుణ్	arun
అరుదు	arudu
అరుదుగా	arudugaa
అరుదైన	arudaina
అరువు	aruvu
అరుస్తూ	arusthoo
అరె	are
అరెస్టు	arestu
అరెస్ట్	arest
అరేబియన్	arabian
అరేబియా	arabia
అర్చకుడు	archakudu
అర్చన	archana
అర్జున	arjuna
అర్జునా	arjunaa
అర్జునుడి	arjunudi
అర్జునుడికి	arjunudiki
అర్జునుడితో	arjunuditho
అర్జునుడిని	arjunudini
అర్జునుడు	arjunudu
అర్జునుని	arjununi
అర్జున్	arjun
అర్జెంటీనా	argentina
అర్థ	ardha
అర్థమయ్యే	ardhamayye
అర్థము	arthamu
అర్థరాత్రి	ardaraatri
అర్థాంగి	ardaangi
అర్థాన్ని	ardaanni
అర్థాలు	arthalu
అర్ధం	ardham
అర్ధంలో	ardhamlo
అర్ధమయ్యే	ardhamayye
అర్ధము	ardhamu
అర్ధరాత్రి	ardharaathri
అర్బన్	arban
అర్వపల్లి	arvapalli
అర్హత	arhatha
అర్హులు	arhulu
అల	ala
అలంకరణ	alankaranha
అలంకరించడం	alankarinchadam
అలంకరించారు	alankarinchaaru
అలంకరించి	alamkarinchi
అలంకరించిన	alankarinchina
అలంకరించు	alankarinchu
అలంకరిస్తారు	alankaristhaaru
అలంకార	alankaara
అలంకారం	alankaaram
అలంకారాలతో	alamkaaraalatho
అలంకారిక	alamkarika
అలక్ష్యం	alakshyam
అలజడి	alajadi
అలనాటి	alanaati
అలబామా	alabaamaa
